,CompleteInfo?,UUID,Multipack?,Order,AlphaTitle,IMDBLink,DisplayTitle,Year,Rating,RunTime,Director,Starring,Genres,Tags,Formats,Synopsis,ImageLink,Ra Too?
Amanda,,tt0490084,,,Because I Said So,https://www.imdb.com/title/tt0490084,Because I Said So,2007,PG-13,1:42,Michael Lehmann,"Diane Keaton, Mandy Moore","Comedy, Romance", ,,A meddling mother tries to set her daughter up with the right man so her kid won't follow in her footsteps., ,
Amanda,,,,,Benchwarmers,https://www.imdb.com/title/,Benchwarmers,,,,,,, ,,, ,
Amanda,,tt0106387,,,Benny & Joon,https://www.imdb.com/title/tt0106387,Benny & Joon,1993,PG,1:38,Jeremiah S. Chechik,"Johnny Depp, Mary Stuart Masterson","Comedy, Drama, Romance", ,,A mentally ill young woman finds her love in an eccentric man who models himself after Buster Keaton., ,
Amanda,,,,,Best in Show,https://www.imdb.com/title/,Best in Show,,,,,,, ,,, ,
Amanda,,,,,Beverly Hillbillies,https://www.imdb.com/title/,Beverly Hillbillies,,,,,,, ,,, ,
Amanda,,,,,Big Fat Liar,https://www.imdb.com/title/,Big Fat Liar,,,,,,, ,,, ,
Amanda,,,,,Big Trouble in Little China,https://www.imdb.com/title/,Big Trouble in Little China,,,,,,, ,,, ,
Amanda,,,,,Black Swan,https://www.imdb.com/title/,Black Swan,,,,,,, ,,, ,
Amanda,,,,,Blackhawk Down,https://www.imdb.com/title/,Blackhawk Down,,,,,,, ,,, ,
Amanda,,tt0120611,,,Blade I,https://www.imdb.com/title/tt0120611,Blade I,1998,R,2:00,Stephen Norrington,"Wesley Snipes, Stephen Dorff","Action, Horror, Sci-Fi", ,,"A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.", ,
Amanda,,tt0187738,,,Blade II,https://www.imdb.com/title/tt0187738,Blade II,2002,R,1:57,Guillermo del Toro,"Wesley Snipes, Kris Kristofferson","Action, Horror, Sci-Fi", ,,"Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.", ,
Amanda,,tt0083658,,,Blade Runner,https://www.imdb.com/title/tt0083658,Blade Runner,1982,R,1:57,Ridley Scott,"Harris Ford, Rutger Hauer","Action, Drama, Sci-Fi", ,,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator., ,
Amanda,,tt0071230,,,Blazing Saddles,https://www.imdb.com/title/tt0071230,Blazing Saddles,1974,R,1:33,Mel Brooks,"Cleavon Little, Gene Wilder","Comedy, Western", ,,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.", ,
Amanda,,tt0300532,,,Blue Crush,https://www.imdb.com/title/tt0300532,Blue Crush,2002,PG-13,1:44,,"Kate Bosworth, Michelle Rodriguez","Drama, Romance, Sport", ,,"As a hard-core surfer girl prepares for a big competition, she finds herself falling for a football player.", ,
Amanda,,tt0285462,,,Boat Trip,https://www.imdb.com/title/tt0285462,Boat Trip,2002,R,1:34,,"Cuba Gooding Jr., Horatio Sanz",Comedy, ,,"Two straight men mistakenly end up on a ""gays only"" cruise.", ,
Amanda,,,,,Bond: Casino Royale,https://www.imdb.com/title/,Casino Royale,,,,,,, ,,, ,
Amanda,,,,,Bond: Die Another Day,https://www.imdb.com/title/,Die Another Day,,,,,,, ,,, ,
Amanda,,tt0830515,,,Bond: Quantum of Solace,https://www.imdb.com/title/tt0830515,Quantum of Solace,2008,PG-13,1:46,Marc Forster,"Daniel Craig, Olga Kurylenko, Mathieu Amalric","Action, Adventure, Mystery",007,D,James Bond descends into mystery as he tries to stop a mysterious organisation from eliminating a country's most valuable resource., ,
Amanda,,tt0145681,,,Bone Collector,https://www.imdb.com/title/tt0145681,The Bone Collector,1999,R,1:58,,"Denzel Washington, Angelina Jolie","Crime, Drama, Mystery", ,D,A quadriplegic ex-homicide detective and his partner try to track down a serial killer who is terrorizing New York City., ,
Amanda,,,,,Book of Eli,https://www.imdb.com/title/,Book of Eli,,,,,,, ,,, ,
Amanda,,tt0144117,,,Boondock Saints,https://www.imdb.com/title/tt0144117,Boondock Saints,1999,R,1:48,,"Willem Dafoe, Sean Patrick Flanery, Norman Reedus","Action, Thriller", ,,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God., ,
Amanda,,,,,Born Ultimatum,https://www.imdb.com/title/,Born Ultimatum,,,,,,, ,,, ,
Amanda,,,,,Brave One,https://www.imdb.com/title/,Brave One,,,,,,, ,,, ,
Amanda,,,,,Break Up,https://www.imdb.com/title/,Break Up,,,,,,, ,,, ,
Amanda,,,,,Breakfast at Tiffany's,https://www.imdb.com/title/,Breakfast at Tiffany's,,,,,,, ,,, ,
Amanda,,tt0088847,,,Breakfast Club,https://www.imdb.com/title/tt0088847,The Breakfast Club,1985,R,1:37,John Hughes,"Emilio Estevez, Judd Nelson","Comedy, Drama", ,,Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought., ,
Amanda,,,,,Bridge to Terabithia,https://www.imdb.com/title/,Bridge to Terabithia,,,,,,, ,,, ,
Amanda,,,,,Broken Arrow,https://www.imdb.com/title/,Broken Arrow,,,,,,, ,,, ,
Amanda,,,,,Brothers Grimm,https://www.imdb.com/title/,Brothers Grimm,,,,,,, ,,, ,
Amanda,,tt0315327,,,Bruce Almighty,https://www.imdb.com/title/tt0315327,Bruce Almighty,2003,PG-13,1:41,Tom Shadyac,"Jim Carrey, Jennifer Aniston","Comedy, Fantasy", ,,A whiny news reporter is given the chance to step into God's shoes., ,
Amanda,,,,,Cabin in the Woods,https://www.imdb.com/title/,Cabin in the Woods,,,,,,, ,,, ,
Amanda,,,,,Captain Ron,https://www.imdb.com/title/,Captain Ron,,,,,,, ,,, ,
Amanda,,,,,Casablanca,https://www.imdb.com/title/,Casablanca,,,,,,, ,,, ,
Amanda,,,,,Cast Away,https://www.imdb.com/title/,Cast Away,,,,,,, ,,, ,
Amanda,,,,,Cat Ballou,https://www.imdb.com/title/,Cat Ballou,,,,,,, ,,, ,
Amanda,,,,,Cellular,https://www.imdb.com/title/,Cellular,,,,,,, ,,, ,
Amanda,,tt0367594,,,Charlie and the Chocolate Factory,https://www.imdb.com/title/tt0367594,Charlie and the Chocolate Factory,2005,PG,1:55,Tim Burton,"Johnny Depp, Freddie Highmore, David Kelly","Adventure, Comedy, Family", ,,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.", ,
Amanda,,,,,Charlie Bartlett,https://www.imdb.com/title/,Charlie Bartlett,,,,,,, ,,, ,
Amanda,,,,,Chicago,https://www.imdb.com/title/,Chicago,,,,,,, ,,, ,
Amanda,,,,,Chicken Little,https://www.imdb.com/title/,Chicken Little,,,,,,, ,,, ,
Amanda,,,,,Chitty Chitty Bang Bang,https://www.imdb.com/title/,Chitty Chitty Bang Bang,,,,,,, ,,, ,
Amanda,,,,,Clash of the Titans,https://www.imdb.com/title/,Clash of the Titans,,,,,,, ,,, ,
Amanda,,tt0082186,,,Clash of the Titans,https://www.imdb.com/title/tt0082186,Clash of the Titans,1981,PG,1:58,,"Laurence Olivier, Harry Hamlin, Claire Bloom","Action, Adventure, Family", ,,Perseus must battle Medusa and the Kraken to save the Princess Andromeda., ,
Amanda,,,,,Clockstoppers,https://www.imdb.com/title/,Clockstoppers,,,,,,, ,,, ,
